adjective,race,character_class,Origin,Who,Sentimental magic item d100,Magical item,atmosphere,place,primary,secondary,villain_Trait,game_starts,twist
cuddly,Tabaxi,,wine country,loves to gamble,"A large copper orb that, when allowed to sit in a stagnant body of water, purifies and separates harmful pathogens from the water. Made as a tool for humanitarian efforts run by a brain damaged bugbear.","Miners Pick of Burrowing (Wondrous Item): This miners pick, which weighs 10 pounds, functions like a mundane miners pick until you stand astride it and speak its command word. It then hovers beneath you and can be ridden into solid rock. It has a burrowing speed of 1 foot, and can carry up to 400 pounds.",,,,,"The villain has a surprising hobby, like coin collecting or pottery.","A serious infection broke out in a big city. Authorities set a quarantine, but the party sees a group of people escaping.",
cynical,Tiefling,,a nunnery,made a terrible deal with a demon,A leather bound tome that writes out motivational quips whenever it is opened. Made for a laborer with low self esteem.,"Minute Seeing Ale Stine of Vermin (Artifact)
The crawling things of the earth, such as insects, snakes, and vermin, are attracted to this item. When placed on the ground, such creatures will scurry toward the item like moths drawn to the flame.",,,,,The villain finds it incredibly cathartic to break things.,"There are shooting stars in the night sky. They make an incredible light show, that makes most of the citizens stop what they are doing to watch. When it all ends though, people come to their homes to find that their valuable possessions disappeared.",
deceitful,Tortle,,an up and coming cult,needs everyone to like them,"A leather collar with a small metal emblem of a star on it. A matched bracelet with the same emblem. A person wearing the bracelet can make a small light hover 50 feet above the collar. A wife commissioned this collar after her husband, a retired soldier with significant PTSD, lost the dog that he had bonded with.","Oil of Bonework (Potion): This thin oil can cover a 10 foot cube (or equivalent volume) of bone, and takes 10 minutes to apply. At the end of that time, the volume of raw materials is converted into a demonic throne. The quality of the object is commensurate with the quality of the raw materials.",,,,,The villain has scouts that look for up-and-coming talent (both challenges and recruits).,"The party is next to a city square, where an opposition leader is making a speech to a big crowd. Suddenly, soldiers [who may or may not be aligned with the government] attack the crowd.",
determined,Triton,,a village so boring they keep forgetting to add it to the maps,once tried to start a cult,"A leather lined steel helmet with a pair of matching elvish insignia on either side of it. When someone puts both hands on the insignias and speak into the helm, it will magically record what was said and play it back for whoever is wearing it when they touch one of the insignia. Given to a soldier who tended to forget his orders on long trips.","Padded Armor of the Augur (Epic)
Your Intelligence ability score is increased by +4.",,,,,"The villain is a retired adventurer who is just bored, trying to stir the pot for something to do.",The group has been pressed into naval service by a corrupt baron and needs to find a way to jump ship.,
devil-may-care,Vedalken,,the heart of the Kingdom,owes a lot of money,"A leather Tabard made of orc skin that allows those who wear it to be able to use rage once per day. Legends tell of the friendship between an elf ranger and an orc barbarian, whose tribe had strange funerary rites. When the orc was struck down, with his final words, he requested that hed be turned into a tabard so he could protect his friend once more.","Padlock of Manipulation (Common)
The bearer may cast Mage Hand once per day.",,,,,The villain never works off the clock.,"The group (who havent met each other yet) are all enjoying their drinks at a tavern when a gang of ruffians breaks down the door demanding protection money. After the situation is resolved, the group finds themselves in trouble with the law.",
devious,Verdan,,a cursed library,parties like its 1999,"A levitating quill that writes out whatever the last person who touched it wants, given that it has enough ink and parchment. Someones son had it commissioned after his novelist father lost feeling in both of his hands after a wall collapsed on him.",Pen of Forgery. User may recreate any document previously seen.,,,,,The villain is obsessed with a hobby completely unrelated to their villainous goals.,"A mysterious figure recruits each of the group members for a heist, only to betray them once the job is done.",
diligent,Warforged,,a hidden archive,prefers the company of plants,"A long feline tooth that naturally repels small, wild mammals. Made by an Elf with a phobia of rats.","Potion of Contagious Confusion (Potion): When you drink this swirling potion, you are affected as though the spell Confusion (phb 224) had been cast on you. If you touch another creature on your turn, then the effect ends for you and transfers to that creature. That creature may transfer the effect the same way on its turn. The effect ends after 1 minute.",,,,,The villain is a child genius.,While sitting in a tavern a man approaches a member of the party and kneels before them. Crying the man tells him he is thankful to see the rightful Lord is alive.,
diplomatic,Yuan-Ti Pureblood,,the open sea,rescues kittens,"A long, satin coat that blows air throughout in the inner lining whenever the wearer puts both hands on the collar allowing it to dry out rather quickly when wet. Made for a seamstress that lived a particularly rainy part of the continent by her mother.","Potion of Silence (Potion): When you drink this potion, your ears fall off. You become the center of a 20-foot radius sphere of no sound, as though you had cast the spell Silence (phb 275). The effect moves with you, and lasts for 10 minutes. After the effect ends, you quickly grow new ears.",,,,,The villain was a leader of a successful rebellion / activists group and is now disgruntled that most of his former followers are not following his new way.,"The party finds, to their surprise, that they are the only non-cultists staying at the inn.",
dishonest,,,a mediocre castle,sneezes with their eyes open,"A medallion that, when focused on, always displays a faint blue line, curving around trees or arching over rocks. It will always show the fastest way home, but not the easiest, a flawed enchantment made by a well-meaning wife for her husband, so that he could always find his way back to her.","Prismatic Blade (Weapon, longsword, requires atonement): This item appears to be a longsword hilt. While holding the object, you can use a bonus action to cause a blade of prismatic radiance to spring into existence, or make the blade disappear. While the blade exists, this magic longsword has the finesse property. When you hit a target with this weapon, roll 1d6: 1. the weapon deals fire damage, 2. acid, 3. lightning, 4. poison, 5. cold, 6. no damage but the target is blinded until the start of your next turn.",,,,,"The villain is acting childish and naive, reacting with temper tantrums to mistakes and failures. They also overspend their resources massively for simple tasks.","The party are all young citizens of a small town and as their �coming of age� rite, they must explore the tomb of a local hero and bring back an etching from his casket. What they don�t know, is that every rite like this that takes place in the town is more of a game that is set up by the mayor and other officials and townsfolk who have set clever tasks in order to challenge the would be adventurers.",
disorganized,,,the swamp,sold their soul by accident,A metal wind chime a traveler carried with him that catch the faint sounds of home no matter how far he went. Distinct voices can be heard but not clearly enough to make out more than mumbled words and laughter.,"Puzzlebox of Neutrality (Common)
Contains 1d4 unreplenishable charges of the Protection from Good and Evil spell (1st level).",,,,,The villain was wronged early in the party's adventure. Now they must save the world from you.,The party start as guards to a nobles gathering on the eve of a revolutionary uprising.,
disruptive,,,the rough side of town,thinks they can see the future,"A music box pendant, that, when wound and played, emits a somber, soothing song, like one sung by a long-dead but much-loved parent to their child. While the song plays, other sound around the wearer is muffled, and the user cannot be frightened.","Resisting Javelin of Celestial Detection (Common)
As an action you can gain resistance to all damage types until the end of your next turn. You cannot use this ability again until you complete a long rest.
The weapon sheds 30 feet of bright light and another 30 feet of dim light after that whenever a celestial is within 100 feet of it.",,,,,"The villain is a patsy. Trying to affect change, but being kept in line by otherworldly forces or a curse.","The lord is holding a grand tournament. From near and far, people come to participate in the melee and/or archery contests, while the glorious knights come to joust. Along the main road to town stands a huge popular tavern/inn, about a days ride from the tournament. It is bursting with travelers on their way to the tournament, among the visitors of course the characters.",
driven,,,the royal court,"tries to convince every small animal they meet to act as their familiar, but has never had any success",A neck tie that soothes the throat and allows the wearer to sing/ speak for a long time without injuring themselves. Made for the apprentice of an operatic singer.,"Ring of Invisible Burden (Ring): While wearing this ring, everything you are wearing or carrying, including the ring itself, is invisible.",,,,,The villain has secretly replaced the rightful ruler of the realm or the villain is somehow controlling the rightful ruler.,The characters wake up aboard a plague cart. Their bodies are about to be dumped in a mass grave.,
egotistical,,,a noble house,wants to be a great magic user,A pair of gloves that softly hums different notes based on the type of metal they touch (mostly used for coins). Made for a merchant that went blind so that he wouldnt be swindled.,"Ring of the Goat (Ring, requires attunement): While wearing this carved horn ring, you can consume virtually any organic matter, such as grass, leaves, twigs, linen, leather, etc., and find it as tasty and sustaining as normal food.
 ",,,,,"The villain is a (fallen, expelled) member of a group whose original purpose was to protect the realm.",The characters are all at the town square to witness the execution of a notorious bandit leader. The bandits companions launch a rescue operation without regard to the safety of the audience. (Option: When the hood is drawn off the bandit - or the executioner - one character is shocked to see its a relative.),
emotional,,,a lesser-known plane of existence,wants to become a famous hero,A pair of green rimmed spectacles that translates elvish text into common while wearing them. An elf made them so that he and his adopted daughter could read some elvish adventure tomes that he brought home together.,"Rust Hide Armor (Armor, hide): Any nonmagical weapon made of metal that hits this magical armor corrodes. After dealing damage, the weapon takes a permanent and cumulative -1 penalty to damage rolls. If its penalty drops to -5, the weapon is destroyed. Nonmagical ammunition made of metal that hits the armor is destroyed after dealing damage.",,,,,The villain is obsessed with destroying their own kind.,"The characters have all grown up together in a small farming community and are expected to take over their fathers work. However, one rainy spring evening, a knight leading a company of soldiers comes to muster all able-bodied people in the area. War is coming.",
empathetic,,,the Astral sea,was always the teachers pet,A pair of leather sandals that allow the wearer to walk on shallow water. Made for a delivery woman who got tired of stepping in puddles on her routes.,"Scholars Monocle (Wondrous Item): While wearing this crystal lens in a library or similar setting, you have advantage on Intelligence (Investigation) checks to find relevant books and information.
 ",,,,,The villain is terrified of something common or seemingly harmless. (Ex: Imhotep's fear of cats in 'The Mummy'),"The party starts as disparate treasure hunters who have been brought together by a wealthy patron to seek a legendary tome. Little does the party know, the tome is one of unspeakable evil, and their charismatic patron is the leader of a secret organization. An organization bent on destruction/subjugation/apotheosis/something evil.",
energetic,,,the frigid North,who ran away from home as a child,"A pair of ornate chessboards with pieces made of ivory. The pieces are enchanted to move via vocal commands and any move on one board is mirrored on the other. The possession of a prince and princess of two opposite, warring states.","Scroll of Demonic Transformation (Scroll): This fell scroll is inscribed with a demonic face on one side, and a spell upon the other. When you spend an action to read the scroll and place it upon your own face, your appearance changes and becomes more demonic. The effect lasts for as long as you concentrate on it, up to 10 minutes. During this time, you can use an action to burst into flames. Each creature adjacent to you must succeed on a DC 13 Dexterity saving throw or take 2d6 fire damage. This ends the effect immediately.",,,,,The villain has a set of rules that they will not break for any reason.,"A large gathering has brought the party to one town; a festival, a circus, etc. At night, a band of thieves rummages and steal all the expensive (more than common gear) items in the village. All adventurers are hired to find out who did it and get back all the stolen goods.",
enigmatic,,,the tropics,would rather stay home and eat potatoes,"A pair of overalls that have a mild levitation charm imbued into them, will float off like a balloon if left unabated. Made for a retired soldier by his superior officer to alleviate pain to his knees whenever he put weight on them.","Scroll of Strangely Specific Guidance (Scroll): After reading this scroll, touch one willing creature. Once within the next minute, the target can roll a d4 and add the number rolled to a Wisdom (Medicine) check to stabilize a dying doppelganger. It can roll the die before or after making the check. The effect then ends.",,,,,The villain is part of a people that ruled the world long ago. They are obsessed with bringing their people back to prominence and power.,"For reasons of your own, you have each chosen (or been chosen) to join Ye Olde Heroes for Hyre, the largest private security & mercenary company in the land. As the newest recruits youve been assigned to the same squad. Your squad leader has just handed you your first assignment.",
extroverted,,,a tourist town,Carries a lantern that must never go out,A pair of self lacing shoes. Made by an artificer for his wife who had bad back problems.,Scroll of Wild Magic (Scroll): This scroll appears to have been pieced together from other scrolls. You can use an action to read it and unleash a wild magic surge (phb 104).,,,,,The villain was banished from another dimension. They seem to be lacking in knowledge of the world they are currently in.,"A traveling carnival has rolled into town, and youve all decided to check out the attractions. A commotion erupts and you realize that youre all in the path of an escaped (or was it freed?) angry beast. Its trainer is nowhere to be found; youre the only ones who can stop it from charging into the big top full of helpless townsfolk.",
exuberant,,,,Thinks monsters are misunderstood puppies,"A pair of small blank scrolls with matching handles. Whatever you write/draw on one scroll (in ink) appears on the other within 3 minutes. 24 hours after ink touches the blank page, everything written on it melts away permanently. Made by two young Divination apprentices who wanted to keep in touch with each other.","Sentinel Blade (Weapon, dagger): You can use a bonus action to toss this thin dagger into the air and speak the command word, causing it to hover above you. Whenever a Tiny or larger creature comes within 10 feet of you, the dagger stabs you for 1d4 piercing damage to awaken you.",,,,,"This villain treats the world as their experimental subjects, seeking ever greater knowledge without regard for morality.","The party has been executed by way of bottomless pit for crimes real or imagined. However, after hours of falling, they find themselves in a bustling underground City with a citizenry full of ""executed"" peoples. They must find their way back to the surface for their revenge.",
faithful,,,,Is a recovering cannibal,"A paper crane that, when unfolded, will inscribe any words within ear shot onto itself. The words on it will remain for 5 hours or until it is folded back into a crane. Made for a deaf child so that she could better converse with her friends.","Shading Dart the Adept (Uncommon)
The bearer suffers no harm or discomfort in temperatures as high as 120 degrees Fahrenheit.
While equipping this item, your Intelligence ability score cannot be reduced below 11.",,,,,"This villain believes in the purity of the hunt, and thinks of the world purely through the lens of 'predators and prey.'","You arrive at the gates of the reclusive gnome inventor Tinky Tonkas factory, each carrying the golden ticket that allows you to see what goes on inside. What wonders await!",
fearless,,,,Always has a rat on each shoulder,A patch of treated leather with studded edges that removes tattoos off of skin if pressed up against them for 10 minutes. Made for an apprentice tattoo artist that made more than one mistake.,"Shield of Blades (Armor, shield): While holding this jagged-edged shield, you can use an action (Bonus action? - willard) to conjure one non-magical melee weapon of any type from it. The weapon dissolves into smoke if you let go of it.",,,,,"This villain has been asleep for a long, long time, and the psychic pull of their dreams has begun to attract followers to them.","Metal men have come out from an old ruined castle and have begun chopping down the forest. They carry the lumber back to the castle, but no one has gotten close enough to see what it�s being used for.",
flaky,,,,Can do perfect bird calls,A purple amethyst stone that projects soft purple light when the sun goes down. Made for an orphan who was afraid of the dark.,"Shield of Expression
The front of this shield is shaped in the likeness of a face. While bearing the shield, you can use a bonus action to alter the faces expression.",,,,,"The villain loves music. All of their triumphs are scored, and they hire wandering bards to follow the party and perform them.","You are each arrested and pulled into the Chancellory Court. There, a tearful widow declares that it was one of you who killed her husband. When she cannot identify which one, and you each declare your innocence, you are provisionally released while more information is gathered. You can escape the town together, or band together to find the real killer. The DM can also talk privately to one player beforehand, so one of them is actually the killer, and can put that into their characters backstory.",
folksy,,,,Lost all their money in a Ponzi scheme,"A red scarf sewn with silver beads into the fabric, magically filters air that is sucked through it when worn as a face wrap. Made as a gift for an obsidian miner to avoid complications with volcano fumes.","Shortsword of Consistency (Uncommon)
All of your base weapon damage die become d4s. Roll twice as many dice when you attack.",,,,,"The villain is unhappily married. Much of what you attributed to malice and cunning on their part is actually some very messy, retaliatory, and petty divorce proceedings.","You are each contacted by Sowusi Aletongo, a Thayyan Prince who offers you an incredibly lucrative deal. When you arrive at the agreed upon meeting spot, an abandoned cabin in the forest, you find only the other party members.",
foolish,,,,Cant remember who they swore a blood oath to,A reflective steel circle about the size of a coin that makes it so the owner doesnt get burned from exposure. Make for a cartographer that was trying to map out a desert.,"Shovel of Heroes (Common)
The bearer has advantage on saving throws vs. fear.",,,,,"The villain is happily married, you're actually facing an evil power-couple.","You are all (at least) 2nd cousins via the progenitor Golan the Virile, a handsome, dashing and marriage-hopping bard. He arranged a small inheritance for all of his progeny and step-progeny, and had all of them meet in small groups based on geography. The party represents the grandchildren in your area.",
forceful,,,,Looks exactly like the King (no relation).,A sand timer that takes vocal commands and can makes various chime noises. Made for a weapons smith to better keep track of how long something is in the kiln.,"Sovereign Glue
This viscous, milky-white substance can form a permanent adhesive bond between any two Objects. It must be stored in a jar or flask that has been coated inside with Oil of Slipperiness. When found, a container contains 1d6 + 1 ounces.

One ounce of the glue can cover a 1-foot square surface. The glue takes 1 minute to set. Once it has done so, the bond it creates can be broken only by the application of Universal Solvent or oil of Etherealness, or with a wish spell.",,,,,"The villain is passionate about a particular culinary experience - fine food, a particular favorite drink or vice, and will go far out of their way to indulge in their delights.",The surrounding areas are all suffering an extreme drought but this town is having a massive harvest festival. Different rumors intrigue each member enough to make a trip.,
forgetful,,,,Was a celebrity in their home town but is completely unknown elsewhere.,A satin robe that gives a full body massage to the wearer when the waist rope is knotted. Made for a popular pit fighter for post fight treatments.,"Surveyors Rod (Rod): While holding this rod, you know the distance to any fixed landscape feature you can see, such as a tree, mountain, oasis, castle, island, etc.",,,,,"The villain seems to have 2 distinct personalities, but when the party imposes themselves between her and the Doom Switch, her identical twin appears behind them.",Heavy rains have washed out all bridges and paths except the main highway. People have formed a caravan to reach higher ground. Your party has all ended up traveling together.,
frank,,,,Loves Halloween so so much,A sentient mouse trap that hunts and eats mice. Made for a tavern owner after their beloved cat died.,"Swindlers Greatclub of the Diviner (Uncommon)
While equipping this item, your Dexterity ability score cannot be reduced below 11.
You may store a spell of level 2 or lower in this weapon along with a metamagic or other such enhancement. The stored spell must have a casting time of 1 action or less. Casting the stored spell is an action that consumes the stored spell. The spell must be used by the next dawn.",,,,,"The villain has died and been reborn many times, he genuinely doesn't understand why there would be a fuss over a few more deaths.",A local magistrate has sent his brute squad to round up anyone who looks suspicious. Your party was all gathered up. The magistrate isn�t looking arrest you. He is looking to form a band of strangers to kidnap someone.,
friendly,,,,Has terrible allergies ,"A set of bracelets that when one is broken the other immediately breaks as well. When one is mended, the other mends itself. Created by a brother who was going off to war, for his younger brother staying home. This was so the older brother would know if things got bad at home. If the bracelet snapped, he promised to come home no matter what.","Sword of Chicken Detection (Weapon, Longsword): This longsword glows faintly when there is a chicken within thirty feet of it. ",,,,,"The villain didn't want any of this. Once their organization grew past a certain size, it got out of their control.",You have all attended a large banquet. During the feast you have all been knocked unconscious. You wake in the morning and all the guests but you have died.,
frivolous,,,,Studied interior design,"A silver necklace with circular blue stone hanging on the front, makes the wearer speak much louder with no extra effort. Made for a former doctor who enjoyed his piped too often.","Sword of Drunken Wizard Detection (Weapon, Scimitar): This scimitar glows faintly when there is a drunken wizard within thirty feet of it. ",,,,,The villain believes completely in a prophecy. Everything that they have done is to build up an army capable of fighting a greater threat to the world.,"A huge, Violet hurricane came blowing through the town where all the characters happened to be staying. You are trapped for hours together in a cellar while it blows over.",
frugal,,,,Really wants to pledge themselves to someone,"A simple wooden cup that warms and cools liquids to make them taste better. Water is pleasantly cool, ale is near freezing, coffee and tea are heated to the users preference. Created by a travelling wizard for a young woman in a small village who he had fallen for, when he overheard her mention her disappointment that her tea had gotten cold.","Sword of Sharpness
Weapon (any sword that deals slashing damage), very rare (requires attunement)

When you Attack an object with this magic sword and hit, maximize your weapon damage dice against the target.

When you Attack a creature with this weapon and roll a 20 on the Attack roll, that target takes an extra 4d6 slashing damage. Then roll another d20. If you roll a 20, you lop off one of the target's limbs, with the Effect of such loss determined by the GM. If the creature has no limb to sever, you lop off a portion of its body instead.

In addition, you can speak the sword's Command word to cause the blade to shed bright light in a 10-foot radius and dim light for an additional 10 feet. Speaking the Command word again or sheathing the sword puts out the light.",,,,,The villain is actually just some poor explorer who picked up a cursed artifact. They are basically being used like a puppet by the artifact.,"Each player owes a favor to a local Lord. A mysterious figure recently came to the Lord and purchased those favors, and now he calls the characters together to collect.",
funny,,,,Loves to thumb wrestle,"A small brass claw, meant to be set on a desk and have a gemstone inserted into its top. It gives a small, hologram-like view of an elemental plane, changing which plane is displayed by changing the gemstone. It seems to have been a gift from a noble to his child, as such craftsmanship would be quite expensive.","Tankard of Truth (Wondrous Item): When this silver tankard is filled and both you and at least one other creature drink from it, its enchantment is automatically activated. Each creature which has drunk from the tankard must make a DC 13 Charisma saving throw. On a failed save, the creature cant speak a deliberate lie to any other creature which has drunk from the tankard. The effect lasts until the tankard is empty, or for 10 minutes. The tankard cant be used this way again until the next dawn.",,,,,"The villain gained power by performing a ritual to capture a greater being and steal its power. Recently, whatever they used for a prison is starting to crack.","You are orphan children and you are part of an orphanage that is self-supporting with agriculture. Suddenly, the golem-worker stops working.",
generous,,,,Lost their shadow in a bet,A small coin purse that cleans any jewelry put into it magically. Made for a pawn broker with not enough time on their hands.,"The Skull Goblet (Wondrous Item, artifact): There is believed to be only one skull goblet, randomly moving from tavern to tavern across the world. It appears to have been cast from dark pewter, and has a single ruby set into one eye socket. When you drink from and empty the goblet, you are compelled to speak aloud your darkest secret. In return, you receive some piece of useful information. If you choose to resist the compulsion, you may do so with a successful DC 13 Wisdom saving throw. In either case, the goblet immediately vanishes.",,,,,"The villain obeys the law. The villain is very familiar with the laws of the realm and every villainous act they commit is technically within the bounds of the laws of the realm. They may stretch the law, they may bend the law, but they are always just short of breaking the law. They also tend to twist the law to turn law enforcement against their foes.","Some noble lord has made a call for adventurers to help him clear the goblin infestation out of his land or complete some other quest appropriate to the campaign. Whoever does the best job will win a prize. However, all of you missed the memo that you were supposed to come in teams of (insert party size here). Youre the only ones who showed up alone, so now youre stuck on a team together.",
gentle,,,,Plans on retiring any day now,"A small dented chalice that produces a minty slurry on command once per day. A community of dwarves came to together and commissioned it. Its engraved with the phrase ""To Gutter Mouth Rodhim, For the love of the Lord use this once in a while -Everyone""","Tome of Cat Summoning (Wondrous Item): By opening this tome and reading it for one minute, you summon a normal cat. The cat lays upon the tome and does nothing else, but departs if removed from the tome or attacked. ",,,,,The villain is a mercenary. It's all about the money. This villain can actually be bribed to stop or switch sides.,"Each of you independently helped stop some crime or disaster just before the campaign began, all for your own reasons. You have all been invited to some ceremony where you will be honored for your participation. During the ceremony, someone who isnt happy about your deeds attacks, targeting all of you specifically.",
good-natured,,,,Came out of retirement for one last job,A small hammer that will drive in any nail strait in. Commissioned for a carpenter by his children when his hands started shaking in old age.,"Universal Solvent
This tube holds milky liquid with a strong alcohol smell. You can use an action to pour the contents of the tube onto a surface within reach. The liquid instantly dissolves up to 1 square foot of adhesive it touches, including Sovereign Glue.",,,,,The villain has a favorite weapon. To kill or even harm something using another method would be dishonorable.,The players are all trying to kill the same reclusive Lord and have planned thier break ins on the same day.,
gossipy,,,,Writes vampire smut,A small harp that plays the last song it heard when activated. Was ordered to be made by a king so that his sick could be serenaded whenever she wanted.,"Wand of Parrying (Wand): This fine steel wand functions as a shield while you are holding it, increasing your Armor Class by 2. In addition, you can use an action to cast the cantrip Blade Ward.",,,,,"The villain is a big dumb brute. They are incredibly strong and tough, however they can be easily tricked.","Its the day of the year every guild in the capital dreads. Every guild must present their annual accounting report to the department of accounting in order to determine if everything is reported correctly and is in order. Each member of the party has drawn the short straw of delivering the books of their respective guilds, and have spent the last 8 hours standing together in line, getting to know one another to pass the time. As the first of the PCs makes it to the front, a commotion can be heard at the entrance...",
greedy,,,,Names all their armor and weapons,A small leather vest enchanted to magically float when exposed to water. Commissioned by a noble after his daughter almost drowned in the estate fish pond.,"Wand of Stunned Wonder (Wand): This wand has 7 charges. While holding it, you can use an action to expend 1 charge. Roll d100. You are stunned until the start of your next turn, believing something awesome just happened. The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wands last charge, roll a d20. On a 1, the wand ascends to a higher plane of existence and disappears.",,,,,The villain is very flamboyant and can't resist the opportunity to showboat.,"As you fall uncouncious in battle, you hear the god Lathander speak out to Tyr: He is not ready yet, let him go! You wake up from a bird pecking around your clothes. Around you bodys lay on the ground, there are people in the distance. The air smells metallic from the blood around you, the ground is red. You see some others wake up, and your eyes meet. You notice a connection in their eyes. Wounded, what would you like to do.",
gregarious,,,,Aspires to a life of crime ,"A small mobile showing a scene of sheep hopping over a fence that, when hung, all around it will find it easier to enter restful sleep and ignore less dangerous interruptions. The first successful craft by an apprentice Artificer for his insomniac mentor.","Wand of Wander (Wand): This wand has 7 charges. While holding it, you can use an action to expend 1 of its charges to teleport yourself from your current location to a random unoccupied destination within 1 mile of you. If there is no available destination, you take 4d6 force damage instead.",,,,,The villains power waxes and wanes. This cycle is predictable once the PCs learn about it. When the villains power wanes they try to keep a low profile.,"Youre startled into wakefulness by the crow of a rooster. You manage to unstick your eyelids, to find that the pressure on your chest was the rooster itself, who glares at you with homicidal malice and crows again. This sets off the monstrous headache you had only just started to understand you had. You slide off the wooden... shelves, covered with straw? that you were sleeping on and stagger to your feet. NOW the headache hits: this is a hangover only in the sense that the plague is an illness. You are in your only set of fine clothes, now ruined: smeared with mud, dung, broken eggs, straw and the thick, pungent smell of the jug of mysterious liquor you now remember that guy in the hat insisting you drink. A couple of hens peck the ground near your feet. You vomit in the dust and straw in front of you: the chickens investigate. You wash out your mouth with the last sip of stale water from your canteen. Now you can see that you were sleeping on the bench of a wagon, which somehow crashed through the wall of the chicken coop. Vanished are the horses you remember pulling the wagon, too fast across a bridge with the rest of the party in the back. The rest of your party is sprawled across the coop and begins to awaken. The rooster crows again. Gods, it hurts.",
grumpy,,,,Has had it up to here,"A small pebble made of slate that, when pressed into someones palm, creates a small illusion of a young child. Made by a grieving sorcerer who had lost a son.","All or Nothing Coin - On a roll you would normally use a d20, flip a coin instead. Heads is a critical success (NAT20), tails is a critical fail (NAT1). Can be used twice per short rest.",,,,,"This villain can't stand ignorance from anyone, and take ample time out of the day to explain things to those who demonstrate offensive levels of idiocy. This villain gives seminars to underlings, monologues on the party's failures while beating them up, and can even sometimes be found in deep conversation with some of the greatest minds of the modern age to reduce their own ignorance.","Returning home after a long journey, youre comforted by the familiar sight of the rolling hills that surround the village and begin thinking about a hot bath and your nice, comfortable bed. Your happiness turns to shock as you crest the hill. How can the entire village have disappeared?",
gullible,,,,Is cursed to spew bubbles from their mouth when theyre angry,A small puzzle box that resets itself after being solved. Made for an elderly gnome to keep his mind sharp.,"Antigravity Sphere - A small, fist-sized glass ball filled with a silvery smoke. When the sphere is destroyed, it disables the effect of gravity of everything within a 30ft cube for 30 seconds.",,,,,"This villain can't understand why anyone would oppose their goals, and is genuinely confused by the players' motives.","An aging wizard wishes to give back to the community and start his own wizarding school. He urgently needs his first ever spell book, but he sold it some years back while travelling the land. Return it and hell pay handsomely.",
honest,,,,Sleepwalks,A small rubber ball that would roll to the nearest dog or wolf within 50ft of it. Made for a man whose dog went blind and wanted to continue to play with it.,"Arcane Trickster's Glove - Allows a spellcaster who can use Mage Hand to turn the conjured hand invisible. Also allows the conjured hand to perform stealthy actions, such as pickpocketing, sleight of hand, and other acts of remote legerdemain. For these checks, the caster uses their Arcana score.",,,,,"This villain has a beloved pet that they bring along in any situation, even when it would be risky to do so.",The characters are attending a local fair and doing their own things when they hear screaming. The performers at the center of the fair are being attacked. ,
hopeful,,,,Doesnt have a reflection,"A small silver cat bell that, once night falls, causes the death of 2d6 vermin in the house the bell is kept in. Manifested itself after the well loved cat of a farm died. Every now and then, the bell will softly chime and manifest a haunt such as; the feeling of fur rubbing on your leg, a cats tongue licking your fingers, the sound of contented purring filling everyones ears and the occasional decoration knocked off its shelf.","Arrow of Celebration - An arrow tipped with an enchanted noisemaker. For 30ft around the impact site, creatures are compelled (WIS vs DC 17) to dance madly. Loud music can be heard 100ft from the impact site.",,,,,The villain collects art. Loves paintings & sculptures and splits its energy between the study and collection of art to its other villainous pursuits. It's easily distracted by the topic and might even spare the life of an accomplished artist.,"Your party has just finished its first job as official adventurers walking back to the woman who gave you your job when she comes running up, claiming the princess has been assassinated and the group is being framed.",
hostile,,,,Falls in love too easily,A small wood carving knife that loses its edge as long as the blade touches the wielders skin. Does not need to be sharpened. Made for a craftsmans son who had a tendency to nick himself while whitiling.,"Arrow of Displacement - An arrow tipped with a shard of quartz crystal. When it is fired, and the arrow strikes something, the archer is teleported to wherever the arrow landed. The quartz tip breaks after 3 uses and must be replaced.",,,,,"This villain is mentally aging backwards. Physically, it's staying the same, but over the course of 20 years is going from a mature, reasonable adult ego to a more and more childlike emotional age. It's trying to prevent this at all costs, but as its mind reverse ages the unpredictability and lack of longer term planning keep getting worse.","The party is hired to investigate a death at the archaeological dig site of a ruined city. One of the archaeologists disappeared into thin air, only to reappear days later. He seemed fine at first, but then during supper started rapidly aging and died of old age. While investigating, the party steps through a one-way portal. They find themselves in the city before it was ruined, and later on figure out the entire city is stuck in a Groundhog Day loop. They have to either figure out how to break the city from the loop or find out how to escape themselves while not dying the same way the archaeologist did.",
humorless,,,,Is wanted for disorderly conduct,A smooth stone made of obelisk that alleviates the pains of small burns when held. Made for a druid who was injured in a forest fire.,"Arrow of Yondu - Does not require a bow to use. When the user holds this arrow aloft and whistles, the arrow flies through a target enemy, ignoring AC to do 1d6 piercing damage. The user continues to roll a d20+WIS, and for every consecutive roll above 15, the arrow shoots through another target the same way. On a failure, the arrow returns to the user's hand and cannot be used again until after a long rest.",,,,,"This villain is an empty conduit for a demonic portal. It's essentially a diving suit that is used by demons from the abyss. Depending on the demon that is taking it for a drive that day it might have completely different priorities and obsessions or goals. No matter which demon is in the driver's seat though, it is always an agent of chaos and strife, cruel and sadistic to all around, only sparing those that can be of some short term use to the current controller, which might not be useful when the rent-a-planar-body-ride switches hands again.","A strange looking ship without a crew floated into the local docks. The charts inside seem to chart a route to previously unknown lands. In the cabin what is presumably the captains journal is found written in a strange language, stained with blood. The journal has been translated, all you need to do is join the crew.",
